,processor_company,Ram_1,Ram_type,Processor,Brand,Operating_System,SSD,HDD,Touch_Screen,Price
0,Intel,8,DDR4,i3,Lenovo,win11,256,0,no,36990
1,Intel,8,DDR4,i3,Lenovo,win11,512,0,no,39990
2,Intel,8,DDR4,i3,ASUS,win11,512,0,no,32990
3,AMD,8,DDR4,r5,HP,win10,512,0,no,49990
4,Intel,8,DDR4,i5,ASUS,win11,512,0,no,49990
5,Intel,8,DDR4,i3,HP,win11,256,0,no,36990
6,Intel,8,DDR4,i3,DELL,win11,256,1020,no,38990
7,Intel,8,DDR4,i5,RedmiBook,win11,512,0,no,39990
8,Intel,8,DDR4,i3,realme,win10,256,0,no,46990
9,AMD,16,DDR4,r7,ASUS,win11,512,0,no,44990
10,AMD,8,DDR4,r5,HP,win11,512,0,no,59990
11,AMD,8,DDR4,r5,Lenovo,win11,512,0,no,38705
12,Intel,8,DDR4,i3,ASUS,win11,256,0,no,32990
13,AMD,8,DDR4,r5,ASUS,win11,512,0,no,52990
14,Intel,8,DDR4,i3,acer,win11,256,0,no,29990
15,AMD,16,DDR5,r9,ASUS,win11,1020,0,no,196990
16,Intel,8,DDR4,i5,ASUS,win11,256,1020,no,47990
17,Intel,8,DDR4,i5,ASUS,win11,512,0,no,45990
18,AMD,8,DDR4,r5,MSI,win11,512,0,no,47990
19,AMD,16,DDR4,r7,ASUS,win11,1020,0,no,85990
20,Apple,8,DDR4,M1,APPLE,MacOS,256,0,no,88990
21,Intel,8,DDR4,i3,HP,win11,512,0,no,40990
22,Intel,4,LPDDR4,Celeron,Lenovo,DOS,256,256,no,19490
23,AMD,8,DDR4,r3,Lenovo,win11,512,0,no,35590
24,Intel,8,DDR4,i5,HP,win11,512,0,no,65990
25,Intel,8,DDR4,i5,RedmiBook,win11,512,0,no,39990
26,Intel,8,DDR4,i3,Lenovo,win11,512,0,no,39990
27,AMD,16,DDR5,r9,ASUS,win11,1020,0,no,196990
28,Intel,16,DDR4,i5,acer,win11,512,0,no,58990
29,Intel,8,DDR4,i3,realme,win10,256,0,no,46990
30,AMD,8,DDR4,r5,Lenovo,win11,512,0,no,38705
31,AMD,16,DDR4,r7,ASUS,win11,1020,0,no,85990
32,AMD,8,DDR4,r3,acer,win11,256,0,no,24990
33,AMD,8,DDR4,r5,acer,win11,512,0,no,47990
34,AMD,8,DDR4,r7,ASUS,win11,512,0,no,73990
35,Intel,8,DDR4,i5,Lenovo,win11,512,0,no,53490
36,AMD,8,DDR4,r3,Lenovo,win11,512,0,no,35590
37,AMD,16,DDR4,r9,ASUS,win11,1020,0,no,150990
38,Intel,8,DDR4,i5,Lenovo,win11,512,0,no,51990
39,Intel,16,DDR4,i5,ASUS,win11,512,0,yes,66990
40,Intel,8,DDR4,i3,Lenovo,win11,256,0,no,36990
41,AMD,16,DDR5,r9,ASUS,win11,1020,0,no,194990
42,AMD,16,DDR4,r5,acer,win11,512,0,no,51990
43,AMD,8,DDR4,Athlon,HP,win11,256,0,no,25990
44,AMD,8,DDR4,r5,acer,win11,512,0,no,35990
45,Intel,8,DDR4,i5,ASUS,win11,512,0,no,43990
46,AMD,8,DDR4,r5,Lenovo,win11,512,0,no,44990
47,AMD,8,DDR4,r5,Lenovo,win11,512,0,no,64490
48,Intel,8,DDR4,i3,ASUS,win11,256,0,no,40990
49,Intel,8,DDR4,i3,ASUS,win11,512,0,no,38990
50,Intel,8,DDR4,i3,Lenovo,win11,256,0,no,36990
51,Intel,8,DDR4,i5,RedmiBook,win11,512,0,no,39990
52,Intel,8,DDR4,i5,HP,win11,512,0,no,58990
53,Intel,8,DDR4,i5,realme,win10,512,0,no,59990
